table_name,column_name,data_type
brand,_fivetran_deleted,BOOL
brand,_fivetran_synced,TIMESTAMP
brand,custom_url,STRING
brand,custom_url_is_customized,BOOL
brand,id,INT64
brand,image_url,STRING
brand,meta_description,STRING
brand,name,STRING
brand,page_title,STRING
brand,search_keywords,STRING
category_tree,_fivetran_deleted,BOOL
category_tree,_fivetran_synced,TIMESTAMP
category_tree,category_id,INT64
category_tree,category_uuid,STRING
category_tree,default_product_sort,STRING
category_tree,description,STRING
category_tree,image_url,STRING
category_tree,is_customized,BOOL
category_tree,is_visible,BOOL
category_tree,layout_file,STRING
category_tree,meta_description,STRING
category_tree,name,STRING
category_tree,page_title,STRING
category_tree,parent_id,INT64
category_tree,path,STRING
category_tree,search_keywords,STRING
category_tree,sort_order,INT64
category_tree,tree_id,INT64
category_tree,views,INT64
country,_fivetran_deleted,BOOL
country,_fivetran_synced,TIMESTAMP
country,country,STRING
country,country_iso_2,STRING
country,country_iso_3,STRING
country,id,INT64
country,state_resource,STRING
country,state_url,STRING
coupon,_fivetran_deleted,BOOL
coupon,_fivetran_synced,TIMESTAMP
coupon,amount,STRING
coupon,code,STRING
coupon,date_created,TIMESTAMP
coupon,enabled,BOOL
coupon,expires,STRING
coupon,id,INT64
coupon,max_uses,INT64
coupon,max_uses_per_customer,INT64
coupon,min_purchase,STRING
coupon,name,STRING
coupon,num_uses,INT64
coupon,type,STRING
currency,_fivetran_deleted,BOOL
currency,_fivetran_synced,TIMESTAMP
currency,auto_update,BOOL
currency,country_iso_2,STRING
currency,currency_code,STRING
currency,currency_exchange_rate,FLOAT64
currency,decimal_places,INT64
currency,decimal_token,STRING
currency,enabled,BOOL
currency,id,INT64
currency,is_default,BOOL
currency,is_transactional,BOOL
currency,last_updated,TIMESTAMP
currency,name,STRING
currency,thousands_token,STRING
currency,token,STRING
currency,token_location,STRING
customer,_fivetran_deleted,BOOL
customer,_fivetran_synced,TIMESTAMP
customer,accepts_product_review_abandoned_cart_emails,BOOL
customer,address_count,INT64
customer,attribute_count,INT64
customer,company,STRING
customer,customer_group_id,INT64
customer,date_created,TIMESTAMP
customer,date_modified,TIMESTAMP
customer,email,STRING
customer,first_name,STRING
customer,force_password_reset,BOOL
customer,id,INT64
customer,last_name,STRING
customer,notes,STRING
customer,origin_channel_id,INT64
customer,phone,STRING
customer,registration_ip_address,STRING
customer,tax_exempt_category,STRING
product,_fivetran_deleted,BOOL
product,_fivetran_synced,TIMESTAMP
product,availability,STRING
product,availability_description,STRING
product,base_variant_id,INT64
product,bin_picking_number,STRING
product,brand_id,INT64
product,brand_name,STRING
product,calculated_price,FLOAT64
product,condition,STRING
product,cost_price,FLOAT64
product,custom_url,STRING
product,custom_url_is_customized,BOOL
product,date_created,TIMESTAMP
product,date_modified,TIMESTAMP
product,depth,FLOAT64
product,description,STRING
product,fixed_cost_shipping_price,FLOAT64
product,gift_wrapping_options_type,STRING
product,gtin,STRING
product,height,FLOAT64
product,id,INT64
product,inventory_level,INT64
product,inventory_tracking,STRING
product,inventory_warning_level,INT64
product,is_condition_shown,BOOL
product,is_featured,BOOL
product,is_free_shipping,BOOL
product,is_preorder_hidden,BOOL
product,is_preorder_only,BOOL
product,is_price_hidden,BOOL
product,is_visible,BOOL
product,layout_file,STRING
product,map_price,FLOAT64
product,meta_description,STRING
product,mpn,STRING
product,name,STRING
product,open_graph_description,STRING
product,open_graph_title,STRING
product,open_graph_type,STRING
product,open_graph_use_image,BOOL
product,open_graph_use_meta_description,BOOL
product,open_graph_use_product_name,BOOL
product,option_set_display,STRING
product,option_set_id,INT64
product,order_quantity_maximum,INT64
product,order_quantity_minimum,INT64
product,page_title,STRING
product,preorder_message,STRING
product,preorder_release_date,STRING
product,price,FLOAT64
product,price_hidden_label,STRING
product,product_tax_code,STRING
product,retail_price,FLOAT64
product,reviews_count,INT64
product,reviews_rating_sum,FLOAT64
product,sale_price,FLOAT64
product,search_keywords,STRING
product,sku,STRING
product,sort_order,INT64
product,tax_class_id,INT64
product,total_sold,INT64
product,type,STRING
product,upc,STRING
product,view_count,INT64
product,warranty,STRING
product,weight,FLOAT64
product,width,FLOAT64